venue,team,matches,wins,losses,win_rate,lose_rate
"County Ground, Northampton",Warwickshire,5,3,1,0.6,0.2
"Lord's, London",Middlesex,91,30,39,0.33,0.43
"Lord's, London",Sussex,9,3,3,0.33,0.33
"St Lawrence Ground, Canterbury",Kent,115,42,48,0.37,0.42
"St Lawrence Ground, Canterbury",Hampshire,11,4,4,0.36,0.36
"Riverside Ground, Chester-le-Street",Durham,130,57,46,0.44,0.35
"Riverside Ground, Chester-le-Street",Derbyshire,14,2,7,0.14,0.5
"County Ground, Taunton",Surrey,6,0,3,0.0,0.5
"County Ground, Taunton",Somerset,58,29,13,0.5,0.22
"Trent Bridge, Nottingham",Nottinghamshire,127,53,46,0.42,0.36
"Trent Bridge, Nottingham",Yorkshire,11,4,3,0.36,0.27
